resume_id,semantic,semantic_best_chunk,bm25,hybrid,hybrid_gated,hybrid_gated_seniority,final,cross_encoder,top_terms,top_sentences,bucket_agentic_llm_systems,bucket_vector_memory_planning,bucket_observability_eval_reliability,bucket_ui_ux_frontend,bucket_backend_api_devops,missing_bucket_count,jd_required_years,resume_years_est,seniority_penalty_factor
resume_03_genai_lead.txt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"orchestration, architectures, architect, scaling, quality, databases, design, agent, frameworks, vector","collaborated with platform and security teams to enable production-ready ai deployments. || senior ai engineer | 2016 – 2019 built ml-driven backend services and early nlp pipelines powering search and recommendation workflows. || architecture & technical skills genai systems: rag architectures, agentic workflows, prompt orchestration, evaluation frameworks llm stack: python, llm apis, embeddings, rerankers, vector databases platform & devops: kubernetes, docker, ci/cd, observability data & storage: vector dbs, sql/nosql, document pipelines design: high-level system design, scalability, reliability, cost optimization",1,1,1,0,1,1,3.0,9.0,1.0
resume_00_AIML_Fullstack.pdf,0.701746168282765,0.701746168282765,0.7812714585770468,0.7256037553710495,0.7256037553710495,0.7256037553710495,0.6967079525416721,,"mlflow, within, llms, field, ai/ml, ml, mlops, memory, focus, tests","experience   ibm watsonx bangalore, india ai engineer aug 2023 – present – platform architecture: designed and deployed production-grade genai platforms across healthcare, telecom, and public sector, supporting 100k+ users and reducing operational costs by 80% through enterprise automation. || aman verma [email] ai engineer | machine learning | genai specialist [phone] linkedin | github bangalore, india summary ai / genai engineer with 3 years of experience building production-grade llm systems for fortune 500 clients, delivering 80% cost reduction and supporting 100k+ users. || specialized in llm fine-tuning, hybrid rag, agentic workflows, and secure full-stack delivery on kubernetes/openshift, achieving up to 45% retrieval gains and strong improvements in model reliability.",1,1,1,1,1,0,3.0,3.0,1.0
resume_01_genai_fresher.txt,0.8803503284329058,0.8803503284329058,0.42580871377282803,0.7439878440348825,0.7439878440348825,0.48359209862267366,0.429210811743511,,"focus, tests, production-grade, quality, integration, evaluation, llm, grafana, observability, +","experience technova ai solutions — ai engineer bangalore, india | aug 2024 – present operated and supported genai workflow platforms across healthcare, telecom, and public-sector clients, serving 100k+ users with 99.9% uptime. || rohan malik ai application engineer | genai | production support & workflow optimization bangalore, india | [email] [email] [phone] | linkedin | github summary ai/genai engineer with 1 years of experience supporting production-grade llm and workflow automation systems for enterprise clients. || technical skills apis & integration: rest/json, service authentication, workflow integrations genai systems: prompt engineering, hybrid rag (bm25 + dense vectors + reranking), agentic workflows, evaluation observability: prometheus, grafana, logging, alerting, slo monitoring platforms: docker, kubernetes, openshift, ci/cd data: elasticsearch, milvus, postgresql, redis, sql",1,1,1,0,1,1,3.0,1.0,0.65
resume_04_genai_support.txt,0.8288895839849859,0.8288895839849859,0.14441143258136088,0.6235461385638984,0.5300142177793137,0.45051208511241664,0.3926472463745975,,"is, solid, distributed, detection, ability, or, at, reporting, complex, api","while hands-on exposure to genai or chatbot systems is limited, brings a solid foundation in backend systems, debugging, and monitoring—well-suited for supporting ai-enabled products in production environments. || professional experience: technical support engineer xyz saas solutions | 2013 – present troubleshot high-priority production incidents involving rest/soap apis and third-party integrations supported enterprise customers with crm and data synchronization issues built monitoring dashboards and alerts to improve incident detection and response time enhanced incident response playbooks, reducing mean time to resolution (mttr) technical skills apis & integrations   debugging & root cause analysis   dashboards & alerts   reporting & incident management   basic genai awareness || sneha iyer senior technical support engineer | saas integrations bengaluru, india [email] [phone] linkedin: linkedin.com/in/sneha-iyer professional summary technical support engineer with (2+ years) of experience supporting enterprise saas platforms, specializing in api integrations, production troubleshooting, and observability.",0,0,1,0,1,3,3.0,2.0,0.85
resume_07_BA_DataScience.pdf,0.565526274632468,0.565526274632468,0.32697186091822966,0.49395995051819647,0.419865957940467,0.38627668130522963,0.3216474148487009,,"team, 3+, ensure, coordination, store, ux, measurable, visualization, testing, analytics","business development intern / data analyst - prodify ab 07/2024 - 09/2024   gathered and translated client requirements into product stories and prioritized tasks for the development team. || scoped analytics requests with product, engineering, and marketing teams; prioritized dashboards and automation tasks for measurable business impact. || edutech dashboard (tutoratti.ai)   designed, built, and deployed a real-time analytics dashboard on vercel to track student learning metrics and platform performance for data-driven insights.",0,0,1,1,1,2,3.0,,0.92
resume_09_BA.pdf,0.38842000312793246,0.38842000312793246,0.2670357647027481,0.3520047316003771,0.2992040218603205,0.2992040218603205,0.22540540834311348,,"collaboration, planning, analytics, that, implementation, tools, reporting, into, workflow, data",": ai-driven insights – leveraging prompt engineering to optimize analysis. || passionate about applying ai-driven analytics & prompt engineering to improve the accuracy of forecasting and streamline financial processes. || experienced in building etl workflows, automating fp&a reporting, and delivering bi dashboards that improve decision-making speed.",1,0,1,0,0,3,3.0,3.0,1.0
resume_08_DataEngg.pdf,0.33586330935251796,0.33586330935251796,0.19642096779531287,0.2940306068853564,0.2940306068853564,0.2940306068853564,0.21968719735873876,,"knowledge, unit, innovation, testing, langchain, pipeline, frameworks, vector, as, tools","technical skills languages: python, sql (postgres, mysql), java, c, c++ cloud & big data: aws (ec2, s3, lambda, rds,glue), pyspark, delta lake, gcp, azure (adf, adls, sql db) devops & tools: git, gitlab, github actions, docker, linux, nginx, gunicorn technologies & frameworks: selenium, beautifulsoup, pytorch, django, flask, fastapi, streamlit machine learning & genai: langchain, llamaindex, rag pipelines, hugging face transformers, crewai, vector db (milvus,chromadb, faiss), knowledge graph db (neo4j) projects deepdoc search engine - asynchronous data pipeline | python, fastapi, aws s3, chromadb, elasticsearch   built a production-ready asynchronous ingestion pipeline from aws s3, reducing processing time by 50%. || tech.(hons.) in computer science and engineering (cgpa : 8.34/10) august 2019 - may 2023 achievements   q2 business milestone award 2025: launched multi-tenant feature driving product scalability   1st place - o9 spark hackathon 2024: built ai-powered supply chain log analyzer   o9 spot award 2024: recognized for engineering innovation and automation   global rank 3 - alibaba cloud ai challenge 2021: top 3 of 2500+ participants   finalist - tdefi bizthon, gitex 2021   top 10 - adani jack the hack 2021 || ∗enabled seamless ingestion and transformation of large-scale datasets by designing and deploying event-driven data preprocessing pipelines using aws lambda, s3, and rds.",1,1,1,0,1,1,3.0,4.0,1.0
resume_02_cloudEngg.txt,0.44724350954019393,0.44724350954019393,0.0,0.3130704566781357,0.26610988817641534,0.26610988817641534,0.1888262358496127,,"infrastructure, applications., ability, grafana, devops, prometheus, skills, engineer, and, in","strong expertise in cloud platforms, infrastructure automation, containerization, and ci/cd pipelines. || technical skills cloud: aws (ec2, s3, rds, vpc, iam), basic azure devops: docker, kubernetes, jenkins, github actions iac: terraform, cloudformation monitoring: cloudwatch, prometheus, grafana os & scripting: linux, bash, python education b.tech – computer science xyz institute of technology || arjun singh cloud engineer | cloud infrastructure | devops bangalore, india | [email] | [phone] | linkedin summary cloud engineer with 5 years of experience designing, deploying, and maintaining scalable cloud infrastructure for enterprise and product-based applications.",0,0,1,0,1,3,3.0,5.0,1.0
resume_06_JavaDev.txt,0.20239443228026274,0.20239443228026274,0.03478649456091598,0.1521120509644587,0.1292952433197899,0.10990095682182141,0.01616743475750167,,"understanding, related, databases, practices, at, software, java, data, skills, and","technical skills java, oops, collections spring boot, rest apis sql, mysql git, maven basic aws & linux professional experience java developer | abc technologies (2023–present) developed and enhanced backend modules using java and spring boot built rest apis and integrated with relational databases fixed bugs and improved application performance participated in code reviews and agile ceremonies || experienced in building restful services, integrating databases, and collaborating with cross-functional teams to deliver scalable software solutions. || adept at writing clean, maintainable code and following best practices in agile development environments.",0,0,0,0,1,4,3.0,2.0,0.85
resume_05_frontend.txt,0.0,0.0,0.3736229643682486,0.11208688931047457,0.09527385591390339,0.09527385591390339,0.0,,"work, ui, frontend, typescript, applications., or, complex, software, skills, and","no experience with ai, chatbots, or complex integrations. || work experience frontend developer abc software pvt. || focused on writing clean code and building simple, usable screens.",0,0,0,1,1,3,3.0,5.0,1.0
